Depart Date, TOF (Days), Perihelion (AU), Apohelion (AU)
Jan 31 2036 00:00:00.000000000,333,0.014622177959738627,1274.1163877872407
Jan 31 2036 00:00:00.000000000,334,0.015820089398340752,1300.5857599602307
Jan 31 2036 00:00:00.000000000,335,0.017064526664185557,1327.867636941392
Jan 31 2036 00:00:00.000000000,336,4.9692097515371861e-07,0.036709811624199694
Jan 31 2036 00:00:00.000000000,337,5.5997940256730526e-07,0.039384147479066579
Jan 31 2036 00:00:00.000000000,338,6.2785388634691321e-07,0.042151020264230184
Jan 31 2036 00:00:00.000000000,339,7.0062154524874237e-07,0.045010266631757077
Jan 31 2036 00:00:00.000000000,340,7.7834084364172302e-07,0.047961716748239416
Jan 31 2036 00:00:00.000000000,341,8.6105065560198551e-07,0.051005186984981063
Jan 31 2036 00:00:00.000000000,342,9.4876936390254639e-07,0.05414047354520736
Jan 31 2036 00:00:00.000000000,343,1.0414940494637614e-06,0.05736734815284901
Jan 31 2036 00:00:00.000000000,344,1.1391998007153523e-06,0.060685556048133776
Jan 31 2036 00:00:00.000000000,345,1.2418391527488511e-06,0.064094815848339912
Jan 31 2036 00:00:00.000000000,346,1.3493416469346634e-06,0.067594820587342452
Jan 31 2036 00:00:00.000000000,347,1.4616135001657217e-06,0.071185239356427982
Jan 31 2036 00:00:00.000000000,348,1.5785373768606192e-06,0.0748657192115392
Jan 31 2036 00:00:00.000000000,349,1.6999722560982317e-06,0.078635887220156478
Jan 31 2036 00:00:00.000000000,350,1.8257533980654093e-06,0.082495352627506499
Feb 01 2036 00:00:00.000000000,201,0.94689788488343918,413.37202481936924
Feb 01 2036 00:00:00.000000000,202,0.94984606246188119,417.75467610344509
Feb 01 2036 00:00:00.000000000,203,0.95273529776369204,422.26711523925451
Feb 01 2036 00:00:00.000000000,204,0.95556411556731136,426.91588871915127
Feb 01 2036 00:00:00.000000000,205,0.95833108726605409,431.70797364900517
Feb 01 2036 00:00:00.000000000,206,0.96103482440190058,436.65079320297411
Feb 01 2036 00:00:00.000000000,207,0.96367395973254877,441.7522380373137
Feb 01 2036 00:00:00.000000000,208,0.96624712261883472,447.02069676045818
Feb 01 2036 00:00:00.000000000,209,0.96875291511838235,452.46509690653579
Feb 01 2036 00:00:00.000000000,210,0.97118989243779874,458.09495255030896
Feb 01 2036 00:00:00.000000000,211,0.97355654854012719,463.92042106192389
Feb 01 2036 00:00:00.000000000,212,0.9758513059426237,469.95236335347386
Feb 01 2036 00:00:00.000000000,213,0.97807250809441371,476.20241130325911
Feb 01 2036 00:00:00.000000000,214,0.98021841280326349,482.68304137513928
Feb 01 2036 00:00:00.000000000,215,0.98228718555453987,489.40765423205164
Feb 01 2036 00:00:00.000000000,216,0.98427689200172963,496.3906640983563
Feb 01 2036 00:00:00.000000000,217,0.98618548932278005,503.64759732444418
Feb 01 2036 00:00:00.000000000,218,0.98801081646703182,511.19520312625355
Feb 01 2036 00:00:00.000000000,219,0.98975058356455226,519.05157883978529
Feb 01 2036 00:00:00.000000000,220,0.99140236089533784,527.23630866921167
Feb 01 2036 00:00:00.000000000,221,0.99296356780681683,535.77062459576086
Feb 01 2036 00:00:00.000000000,222,0.99443146189105924,544.67758431275706
Feb 01 2036 00:00:00.000000000,223,0.99580312862087217,553.98227434669957
Feb 01 2036 00:00:00.000000000,224,0.99707547166724975,563.71204221169035
Feb 01 2036 00:00:00.000000000,225,0.99824520435525199,573.89675705627644
Feb 01 2036 00:00:00.000000000,226,0.99930884321946312,584.56911073228821
Feb 01 2036 00:00:00.000000000,227,1.0002627053094582,595.76496005264596
Feb 01 2036 00:00:00.000000000,228,1.0011029114064702,607.52371666632257
Feb 01 2036 00:00:00.000000000,229,1.0018253970560171,619.88879474715588
Feb 01 2036 00:00:00.000000000,230,1.0024259315766559,632.90811235790818
Feb 01 2036 00:00:00.000000000,231,1.002900141844991,646.63466437948284
Feb 01 2036 00:00:00.000000000,232,1.0032435338600656,661.12716256794363
Feb 01 2036 00:00:00.000000000,233,1.0034515033887728,676.45076879097417
Feb 01 2036 00:00:00.000000000,234,1.003519329385598,692.6779382538441
Feb 01 2036 00:00:00.000000000,235,1.0034421496792507,709.88940702708805
Feb 01 2036 00:00:00.000000000,236,1.0032149241322128,728.17535567386801
Feb 01 2036 00:00:00.000000000,237,1.0028323929079683,747.63679451364931
Feb 01 2036 00:00:00.000000000,238,1.0022890361874937,768.38720159684783
Feb 01 2036 00:00:00.000000000,239,1.0015790385158758,790.55447294918508
Feb 01 2036 00:00:00.000000000,240,1.0006962580497405,814.28324291063529
Feb 01 2036 00:00:00.000000000,241,0.99963419923518115,839.73765366577004
Feb 01 2036 00:00:00.000000000,242,0.99838598684209612,867.10467800780862
Feb 01 2036 00:00:00.000000000,243,0.99694433934472382,896.59812721980325
Feb 01 2036 00:00:00.000000000,244,0.99530154000213555,928.46350500312474
Feb 01 2036 00:00:00.000000000,245,0.99344940446506091,962.98393752711229
Feb 01 2036 00:00:00.000000000,246,0.99137924425842883,1000.4874438663036
Feb 01 2036 00:00:00.000000000,247,0.98908182607818995,1041.3559303505092
Feb 01 2036 00:00:00.000000000,248,0.98654732746760154,1086.0363933125764
Feb 01 2036 00:00:00.000000000,249,0.98376529000190727,1135.0549348217835
Feb 01 2036 00:00:00.000000000,250,0.98072457151152947,1189.0345302107355
Feb 01 2036 00:00:00.000000000,251,0.9774132989464378,1248.7176371270741
Feb 01 2036 00:00:00.000000000,252,0.97381882331487468,1314.9952941613865
Feb 01 2036 00:00:00.000000000,253,0.0013527493715285055,1.9371489122435017
Feb 01 2036 00:00:00.000000000,254,0.0012655967871937628,1.9289190563456231
Feb 01 2036 00:00:00.000000000,255,0.001178941476374753,1.9200357931775069
Feb 01 2036 00:00:00.000000000,256,0.0010930108183976094,1.9104664194922547
Feb 01 2036 00:00:00.000000000,257,0.0010080487510190394,1.9001763352225096
Feb 01 2036 00:00:00.000000000,258,0.00092431617943407188,1.8891290231999938
Feb 01 2036 00:00:00.000000000,259,0.00084209128310565057,1.8772860416482353
Feb 01 2036 00:00:00.000000000,260,0.00076166947607847349,1.8646070196141973
Feb 01 2036 00:00:00.000000000,261,0.00068336308683832547,1.8510496399291529
Feb 01 2036 00:00:00.000000000,262,0.00060750051750369199,1.8365695958585515
Feb 01 2036 00:00:00.000000000,263,0.00053442512196055618,1.8211205150330665
Feb 01 2036 00:00:00.000000000,264,0.00046449318750923932,1.8046538590177452
Feb 01 2036 00:00:00.000000000,265,0.00039807166711131498,1.787118814829918
Feb 01 2036 00:00:00.000000000,266,0.00033553484804327695,1.7684622019535121
Feb 01 2036 00:00:00.000000000,267,0.00027726057574956411,1.7486284125086131
